#FamilyID	7539_0<0>	50390_0<1>	77166_0<2>	7048_0<3>	217634_0<4>	<5>	<6>	<7>	41139_0<8>	115357_0<9>	116153_0<10>	<11>	166361_0<12>	1629725_0<13>	7070_0<14>	41895_0<15>	<16>	<17>	<18>	110193_0<19>	<20>	<21>	7054_0<22>	224129_0<23>	<24>	<25>	<26>	<27>	<28>	
12326at7041	0.541838	0.0213368	0.0182221	0.535827	0.554667	0.514612	0.534207	0.514039	0.0118044	0.0348749	0.572473	0.507414	0.571531	0.571531	2.43208e-05	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.00401752	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12328at7041	0.541838	0.000912182	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.03694	0.105916	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.0446373	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12410at7041	0.541838	0.0213368	0.0182221	0.535827	0.554667	0.514612	0.534207	0.514039	0.000278842	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12433at7041	0.5785	0.5785	0.535827	0.535827	0.554667	0.00735879	0.534207	0.514039	0.523343	0.523343	6.82962e-09	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.0481296	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12530at7041	0.541838	0.541838	0.000664975	0.535827	0.554667	0.514612	0.534207	0.514039	0.0236097	0.545064	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.0312954	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.00401752	0.518738	0.528193	0.528359	0.501608	N/A
12536at7041	0.541838	1.6672e-06	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.0446373	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
1257at7041	0.541838	3.89973e-05	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	2.63633e-07	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12589at7041	0.541838	0.541838	0.56785	0.56785	0.600539	0.0428843	0.564945	0.52749	0.523343	0.523343	0.19479	0.514663	0.628098	0.0739669	0.0206341	6.71424e-07	0.166515	0.519045	0.550542	0.241027	0.640586	0.512226	0.650423	0.650423	0.53643	0.554024	0.554328	0.503208	N/A
12683at7041	0.541838	0.541838	0.000664975	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.000278842	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12690at7041	0.5785	0.117826	0.0364494	0.56785	0.00754614	0.528587	0.564945	0.52749	0.523343	0.523343	0.0133012	0.514663	0.628098	0.192535	0.50695	0.50695	0.166515	0.519045	0.550542	0.660117	0.211415	0.512226	0.0894597	0.226314	0.53643	0.554024	0.554328	0.503208	N/A
1269at7041	0.0213368	0.541838	0.535827	0.0182221	0.554667	0.514612	0.534207	0.514039	0.00317951	0.565289	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.00196657	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12706at7041	0.541838	0.541838	0.535827	0.0182221	0.554667	0.514612	0.534207	0.514039	0.545064	0.0236097	0.572473	0.507414	0.571531	0.105916	0.00348709	0.50695	0.0312954	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
1272at7041	0.541838	0.000912182	0.0182221	0.535827	0.554667	0.514612	0.534207	0.514039	0.0118044	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12730at7041	0.541838	3.89973e-05	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.0374406	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.0446373	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
1274at7041	0.541838	0.000912182	2.42668e-05	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.126905	0.518738	0.528193	0.528359	0.501608	N/A
1279at7041	0.5785	0.5785	0.596518	0.596518	0.600539	0.528587	0.592603	0.0607196	0.584131	0.584131	0.674946	0.521753	0.628098	0.0040908	0.513756	0.513756	0.0934337	0.528158	0.109901	0.710308	0.287175	0.518171	0.305168	0.0397714	0.55314	0.577713	0.578131	0.5048	N/A
12818at7041	3.04715e-09	0.541838	0.535827	0.0182221	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12835at7041	0.0846993	0.639031	0.535827	0.535827	0.554667	1.59466e-06	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.03694	0.105916	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12843at7041	0.541838	0.541838	0.596518	0.596518	0.554667	0.514612	0.034775	0.0412371	0.0676092	0.0236097	0.629591	0.514663	0.571531	0.571531	0.513756	0.0206341	0.610852	0.519045	0.526299	0.592455	0.640586	0.512226	0.226314	0.650423	0.054652	0.554024	0.554328	0.503208	N/A
